"Year","Region","Variable","Value","Log Scale"
1923,"Canada","Nominal GDP (Millions)",4649.63954329293,8.44454497800535
1924,"Canada","Nominal GDP (Millions)",4594.78516624973,8.43267727988825
1925,"Canada","Nominal GDP (Millions)",5099.24721171642,8.53684820227185
1926,"Canada","Nominal GDP (Millions)",5456.05635222112,8.60448152795623
1927,"Canada","Nominal GDP (Millions)",5676.20979768295,8.64403899983838
1928,"Canada","Nominal GDP (Millions)",6175.34063585359,8.7283193236757
1929,"Canada","Nominal GDP (Millions)",6266.18448983557,8.74292291407831
1930,"Canada","Nominal GDP (Millions)",5838.50387389794,8.67222985702466
1931,"Canada","Nominal GDP (Millions)",4790.22704199354,8.47433308844523
1932,"Canada","Nominal GDP (Millions)",3893.01639423894,8.26693955881118
1933,"Canada","Nominal GDP (Millions)",3564.34537196707,8.17873568961031
1934,"Canada","Nominal GDP (Millions)",4051.22760061205,8.30677522543388
1935,"Canada","Nominal GDP (Millions)",4390.10579748865,8.38710860543455
1936,"Canada","Nominal GDP (Millions)",4730.00471182571,8.46168147764314
1937,"Canada","Nominal GDP (Millions)",5349.58021033201,8.58477337145298
1938,"Canada","Nominal GDP (Millions)",5381.22245160664,8.59067084883316
1939,"Canada","Nominal GDP (Millions)",5737.45284531125,8.65477063565289
1940,"Canada","Nominal GDP (Millions)",6852.07631214631,8.83230699658957
1941,"Canada","Nominal GDP (Millions)",8453.58200762636,9.04234553675633
1942,"Canada","Nominal GDP (Millions)",10477.6647317417,9.25700110210385
1943,"Canada","Nominal GDP (Millions)",11281.9900905934,9.33096293596177
1944,"Canada","Nominal GDP (Millions)",12093.4604716683,9.40042012859845
1945,"Canada","Nominal GDP (Millions)",12108.7712335754,9.40168536431192
1946,"Canada","Nominal GDP (Millions)",12131.2270177058,9.40353815244511
1947,"Canada","Nominal GDP (Millions)",13752.1263449348,9.52894873440667
1948,"Canada","Nominal GDP (Millions)",16225.3247516576,9.69432855688247
1949,"Canada","Nominal GDP (Millions)",17706.385786802,9.78168063241223
1950,"Canada","Nominal GDP (Millions)",19521.2214315207,9.87925743134555
1951,"Canada","Nominal GDP (Millions)",22741.5850193088,10.031950466692
1952,"Canada","Nominal GDP (Millions)",25691.4584800719,10.1539138607802
1953,"Canada","Nominal GDP (Millions)",26941.8373691497,10.2014356499085
1954,"Canada","Nominal GDP (Millions)",27080.6549437738,10.2065749122498
1955,"Canada","Nominal GDP (Millions)",29855.9857187963,10.3041406253108
1956,"Canada","Nominal GDP (Millions)",33583.6458844388,10.4217944978302
1957,"Canada","Nominal GDP (Millions)",35181.068710077,10.4682633961723
1958,"Canada","Nominal GDP (Millions)",36428.3854467734,10.5031035696895
1959,"Canada","Nominal GDP (Millions)",38661.7152502854,10.5626051193489
1960,"Canada","Nominal GDP (Millions)",40265.2623806864,10.6032444005548
1961,"Canada","Nominal GDP (Millions)",42026,10.6460437533536
1962,"Canada","Nominal GDP (Millions)",45739,10.7307066046356
1963,"Canada","Nominal GDP (Millions)",49213,10.8039130952207
1964,"Canada","Nominal GDP (Millions)",53976,10.8962947823073
1965,"Canada","Nominal GDP (Millions)",59552,10.994605159442
1966,"Canada","Nominal GDP (Millions)",66704,11.1080202001206
1967,"Canada","Nominal GDP (Millions)",71813,11.181820797143
1968,"Canada","Nominal GDP (Millions)",78474,11.2705226387172
1969,"Canada","Nominal GDP (Millions)",86430,11.3670901167467
1970,"Canada","Nominal GDP (Millions)",93154,11.4420093166
1971,"Canada","Nominal GDP (Millions)",101664,11.5294285370692
1972,"Canada","Nominal GDP (Millions)",113522,11.6397519297196
1973,"Canada","Nominal GDP (Millions)",132966,11.7978487354249
1974,"Canada","Nominal GDP (Millions)",158176,11.9714636161067
1975,"Canada","Nominal GDP (Millions)",177928,12.0891342530623
1976,"Canada","Nominal GDP (Millions)",205986,12.2355634842972
1977,"Canada","Nominal GDP (Millions)",227601,12.3353493748978
1978,"Canada","Nominal GDP (Millions)",252075,12.4374819412614
1979,"Canada","Nominal GDP (Millions)",287609,12.5693571978025
1980,"Canada","Nominal GDP (Millions)",322783,12.6847355498028
1981,"Canada","Nominal GDP (Millions)",368358,12.8168105703494
1982,"Canada","Nominal GDP (Millions)",388181,12.8692270046759
1983,"Canada","Nominal GDP (Millions)",421316,12.9511384249341
1984,"Canada","Nominal GDP (Millions)",461986,13.0432898665744
1985,"Canada","Nominal GDP (Millions)",500027,13.1224173759464
1986,"Canada","Nominal GDP (Millions)",526630,13.1742534936583
1987,"Canada","Nominal GDP (Millions)",574336,13.2609698698956
1988,"Canada","Nominal GDP (Millions)",626894,13.3485327463118
1989,"Canada","Nominal GDP (Millions)",671579,13.4173869350844
1990,"Canada","Nominal GDP (Millions)",695501,13.4523877281591
1991,"Canada","Nominal GDP (Millions)",701773,13.4613652688919
1992,"Canada","Nominal GDP (Millions)",718436,13.4848319060732
1993,"Canada","Nominal GDP (Millions)",747037,13.5238699943475
1994,"Canada","Nominal GDP (Millions)",791972,13.5822813166363
1995,"Canada","Nominal GDP (Millions)",831621,13.6311320871724
1996,"Canada","Nominal GDP (Millions)",859834,13.6644946263425
1997,"Canada","Nominal GDP (Millions)",906926,13.7178161381172
1998,"Canada","Nominal GDP (Millions)",940548,13.7542179631035
1999,"Canada","Nominal GDP (Millions)",1007927,13.823406304356
2000,"Canada","Nominal GDP (Millions)",1106071,13.9163246543024
2001,"Canada","Nominal GDP (Millions)",1144543,13.9505159886607
2002,"Canada","Nominal GDP (Millions)",1193694,13.992563258682
2003,"Canada","Nominal GDP (Millions)",1254747,14.0424445165998
2004,"Canada","Nominal GDP (Millions)",1335731,14.1049892655002
2005,"Canada","Nominal GDP (Millions)",1421590,14.1672865214703
2006,"Canada","Nominal GDP (Millions)",1496604,14.2187090993497
2007,"Canada","Nominal GDP (Millions)",1577661,14.2714539284116
2008,"Canada","Nominal GDP (Millions)",1657041,14.320544039615
2009,"Canada","Nominal GDP (Millions)",1571334,14.2674354980782
2010,"Canada","Nominal GDP (Millions)",1666048,14.3259649128185
2011,"Canada","Nominal GDP (Millions)",1774063,14.3887829541861
2012,"Canada","Nominal GDP (Millions)",1827201,14.4182958457291
2013,"Canada","Nominal GDP (Millions)",1902247,14.4585463769578
2014,"Canada","Nominal GDP (Millions)",1994898,14.5061034791795
2015,"Canada","Nominal GDP (Millions)",1990441,14.5038667801894
2016,"Canada","Nominal GDP (Millions)",2025535,14.5213444211596
2017,"Canada","Nominal GDP (Millions)",2140641,14.5766158748573
2018,"Canada","Nominal GDP (Millions)",2235675,14.6200537538558
2019,"Canada","Nominal GDP (Millions)",2311294,14.6533180988197
2020,"Canada","Nominal GDP (Millions)",2206764,14.6070377470336
2021,"Canada","Nominal GDP (Millions)",2493129,14.7290491060527
1949,"Newfoundland and Labrador","Nominal GDP (Millions)",NA,NA
1950,"Newfoundland and Labrador","Nominal GDP (Millions)",222.05125062295,5.40290821389046
1951,"Newfoundland and Labrador","Nominal GDP (Millions)",272.728964118792,5.60847849660155
1952,"Newfoundland and Labrador","Nominal GDP (Millions)",295.33089003795,5.68809638889355
1953,"Newfoundland and Labrador","Nominal GDP (Millions)",321.158870957487,5.77193592579619
1954,"Newfoundland and Labrador","Nominal GDP (Millions)",339.012654795201,5.82603743646307
1955,"Newfoundland and Labrador","Nominal GDP (Millions)",375.184895444155,5.92741895897672
1956,"Newfoundland and Labrador","Nominal GDP (Millions)",414.580084588813,6.0272661636063
1957,"Newfoundland and Labrador","Nominal GDP (Millions)",439.009236516013,6.08452045275364
1958,"Newfoundland and Labrador","Nominal GDP (Millions)",430.827805509399,6.06570848709305
1959,"Newfoundland and Labrador","Nominal GDP (Millions)",460.707169574661,6.13276263417081
1960,"Newfoundland and Labrador","Nominal GDP (Millions)",518.738280266409,6.25139947903217
1961,"Newfoundland and Labrador","Nominal GDP (Millions)",548.689995827657,6.30753361139946
1962,"Newfoundland and Labrador","Nominal GDP (Millions)",582.968270722964,6.36813276072358
1963,"Newfoundland and Labrador","Nominal GDP (Millions)",644.058386631422,6.46778938446591
1964,"Newfoundland and Labrador","Nominal GDP (Millions)",715.83447778358,6.57344896395537
1965,"Newfoundland and Labrador","Nominal GDP (Millions)",781.21577895673,6.66085139715585
1966,"Newfoundland and Labrador","Nominal GDP (Millions)",888.392595290258,6.78941375710289
1967,"Newfoundland and Labrador","Nominal GDP (Millions)",937.663362797676,6.84339099631502
1968,"Newfoundland and Labrador","Nominal GDP (Millions)",1060.9388880372,6.9669095384982
1969,"Newfoundland and Labrador","Nominal GDP (Millions)",1159.52992670719,7.05576996637303
1970,"Newfoundland and Labrador","Nominal GDP (Millions)",1290.24242413937,7.16258540538933
1971,"Newfoundland and Labrador","Nominal GDP (Millions)",1399.67557498643,7.24399575659675
1972,"Newfoundland and Labrador","Nominal GDP (Millions)",1466.99778019677,7.29097326498353
1973,"Newfoundland and Labrador","Nominal GDP (Millions)",1724.37849679223,7.45262197283016
1974,"Newfoundland and Labrador","Nominal GDP (Millions)",2082.1776083385,7.64116955213522
1975,"Newfoundland and Labrador","Nominal GDP (Millions)",2387.59846564574,7.77804331365973
1976,"Newfoundland and Labrador","Nominal GDP (Millions)",2836.43604161148,7.95030362816461
1977,"Newfoundland and Labrador","Nominal GDP (Millions)",3211.41003545113,8.07446538305656
1978,"Newfoundland and Labrador","Nominal GDP (Millions)",3453.64198220735,8.14718460023854
1979,"Newfoundland and Labrador","Nominal GDP (Millions)",4187.03007530915,8.3397469490144
1980,"Newfoundland and Labrador","Nominal GDP (Millions)",4388.64629725477,8.38677609798211
1981,"Newfoundland and Labrador","Nominal GDP (Millions)",5251,8.56617381363786
1982,"Newfoundland and Labrador","Nominal GDP (Millions)",5652,8.63976474380442
1983,"Newfoundland and Labrador","Nominal GDP (Millions)",6067,8.7106195279423
1984,"Newfoundland and Labrador","Nominal GDP (Millions)",6509,8.78094111357239
1985,"Newfoundland and Labrador","Nominal GDP (Millions)",6830,8.82907995256484
1986,"Newfoundland and Labrador","Nominal GDP (Millions)",7396,8.90869459250701
1987,"Newfoundland and Labrador","Nominal GDP (Millions)",7991,8.98607118737446
1988,"Newfoundland and Labrador","Nominal GDP (Millions)",8579,9.05707263557296
1989,"Newfoundland and Labrador","Nominal GDP (Millions)",9079,9.11371933337176
1990,"Newfoundland and Labrador","Nominal GDP (Millions)",9315,9.13938128303569
1991,"Newfoundland and Labrador","Nominal GDP (Millions)",9720,9.18194089745448
1992,"Newfoundland and Labrador","Nominal GDP (Millions)",9697,9.17957183830455
1993,"Newfoundland and Labrador","Nominal GDP (Millions)",9896,9.19988591407232
1994,"Newfoundland and Labrador","Nominal GDP (Millions)",10425,9.251962046667
1995,"Newfoundland and Labrador","Nominal GDP (Millions)",10878,9.29449767998291
1996,"Newfoundland and Labrador","Nominal GDP (Millions)",10633,9.27171765165109
1997,"Newfoundland and Labrador","Nominal GDP (Millions)",10738,9.28154413098251
1998,"Newfoundland and Labrador","Nominal GDP (Millions)",11297,9.33229248272693
1999,"Newfoundland and Labrador","Nominal GDP (Millions)",12371,9.42311030286283
2000,"Newfoundland and Labrador","Nominal GDP (Millions)",14175,9.55923512859595
2001,"Newfoundland and Labrador","Nominal GDP (Millions)",14464,9.57941808263196
2002,"Newfoundland and Labrador","Nominal GDP (Millions)",16753,9.72633262569353
2003,"Newfoundland and Labrador","Nominal GDP (Millions)",18438,9.82216903135854
2004,"Newfoundland and Labrador","Nominal GDP (Millions)",19691,9.88791695754517
2005,"Newfoundland and Labrador","Nominal GDP (Millions)",22292,10.0119831486894
2006,"Newfoundland and Labrador","Nominal GDP (Millions)",24602,10.1105830194287
2007,"Newfoundland and Labrador","Nominal GDP (Millions)",29087,10.2780466179484
2008,"Newfoundland and Labrador","Nominal GDP (Millions)",31595,10.3607541592076
2009,"Newfoundland and Labrador","Nominal GDP (Millions)",25022,10.1275107168773
2010,"Newfoundland and Labrador","Nominal GDP (Millions)",29107,10.2787339740603
2011,"Newfoundland and Labrador","Nominal GDP (Millions)",33562,10.4211497535611
2012,"Newfoundland and Labrador","Nominal GDP (Millions)",32063,10.3754579963334
2013,"Newfoundland and Labrador","Nominal GDP (Millions)",34491,10.4484536994218
2014,"Newfoundland and Labrador","Nominal GDP (Millions)",34301,10.442929787248
2015,"Newfoundland and Labrador","Nominal GDP (Millions)",31161,10.3469225918959
2016,"Newfoundland and Labrador","Nominal GDP (Millions)",31519,10.3583458175802
2017,"Newfoundland and Labrador","Nominal GDP (Millions)",33690,10.4249563364006
2018,"Newfoundland and Labrador","Nominal GDP (Millions)",34589,10.4512909914237
2019,"Newfoundland and Labrador","Nominal GDP (Millions)",35383,10.4739867577877
2020,"Newfoundland and Labrador","Nominal GDP (Millions)",31580,10.3602792878096
2021,"Newfoundland and Labrador","Nominal GDP (Millions)",NA,NA
1867,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1868,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1869,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1870,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1871,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1872,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1873,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1874,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1875,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1876,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1877,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1878,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1879,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1880,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1881,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1882,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1883,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1884,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1885,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1886,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1887,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1888,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1889,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1890,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1891,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1892,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1893,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1894,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1895,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1896,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1897,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1898,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1899,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1900,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1901,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1902,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1903,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1904,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1905,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1906,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1907,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1908,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1909,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1910,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1911,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1912,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1913,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1914,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1915,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1916,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1917,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1918,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1919,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1920,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1921,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1922,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1923,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1924,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1925,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1926,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1927,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1928,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1929,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1930,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1931,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1932,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1933,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1934,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1935,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1936,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1937,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1938,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1939,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1940,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1941,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1942,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1943,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1944,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1945,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1946,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1947,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1948,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1949,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1950,"Prince Edward Island","Nominal GDP (Millions)",61.7126690713111,4.12248924324193
1951,"Prince Edward Island","Nominal GDP (Millions)",69.8158851012286,4.2458615641227
1952,"Prince Edward Island","Nominal GDP (Millions)",81.976422836618,4.40643167953791
1953,"Prince Edward Island","Nominal GDP (Millions)",70.0497454515316,4.2492056389653
1954,"Prince Edward Island","Nominal GDP (Millions)",73.6843542992119,4.2997904876386
1955,"Prince Edward Island","Nominal GDP (Millions)",77.1749180018491,4.34607450789137
1956,"Prince Edward Island","Nominal GDP (Millions)",97.2431031673098,4.57721406139564
1957,"Prince Edward Island","Nominal GDP (Millions)",87.1406968988823,4.46752401811982
1958,"Prince Edward Island","Nominal GDP (Millions)",91.0682075655019,4.51160875944359
1959,"Prince Edward Island","Nominal GDP (Millions)",107.479931523074,4.67730414663389
1960,"Prince Edward Island","Nominal GDP (Millions)",106.953971275307,4.67239856691297
1961,"Prince Edward Island","Nominal GDP (Millions)",123.587125800311,4.81694637940689
1962,"Prince Edward Island","Nominal GDP (Millions)",131.110953564155,4.87604393849344
1963,"Prince Edward Island","Nominal GDP (Millions)",138.626160672136,4.93178081838308
1964,"Prince Edward Island","Nominal GDP (Millions)",154.747488815379,5.04179468406877
1965,"Prince Edward Island","Nominal GDP (Millions)",173.016061949554,5.15338443382712
1966,"Prince Edward Island","Nominal GDP (Millions)",191.284635083729,5.25376255478731
1967,"Prince Edward Island","Nominal GDP (Millions)",193.43709256425,5.26495235658526
1968,"Prince Edward Island","Nominal GDP (Millions)",210.626680353092,5.35008727901233
1969,"Prince Edward Island","Nominal GDP (Millions)",235.351122326065,5.46107853658898
1970,"Prince Edward Island","Nominal GDP (Millions)",258.98855973895,5.55678388983189
1971,"Prince Edward Island","Nominal GDP (Millions)",276.205272521701,5.62114433029951
1972,"Prince Edward Island","Nominal GDP (Millions)",307.459099484743,5.72834206859427
1973,"Prince Edward Island","Nominal GDP (Millions)",395.400615217132,5.9798994666714
1974,"Prince Edward Island","Nominal GDP (Millions)",455.800538832992,6.12205529898068
1975,"Prince Edward Island","Nominal GDP (Millions)",495.314958915524,6.20519384086541
1976,"Prince Edward Island","Nominal GDP (Millions)",613.374540225154,6.41897574482781
1977,"Prince Edward Island","Nominal GDP (Millions)",646.923827315842,6.47222855544604
1978,"Prince Edward Island","Nominal GDP (Millions)",733.002960613448,6.59714974091458
1979,"Prince Edward Island","Nominal GDP (Millions)",844.774034096223,6.73906917632459
1980,"Prince Edward Island","Nominal GDP (Millions)",908.898802773797,6.81223375989842
1981,"Prince Edward Island","Nominal GDP (Millions)",1074,6.97914527506881
1982,"Prince Edward Island","Nominal GDP (Millions)",1155,7.05185562295589
1983,"Prince Edward Island","Nominal GDP (Millions)",1337,7.19818357710194
1984,"Prince Edward Island","Nominal GDP (Millions)",1379,7.2291138777933
1985,"Prince Edward Island","Nominal GDP (Millions)",1440,7.27239839257005
1986,"Prince Edward Island","Nominal GDP (Millions)",1674,7.42297125104942
1987,"Prince Edward Island","Nominal GDP (Millions)",1774,7.48099216286952
1988,"Prince Edward Island","Nominal GDP (Millions)",1946,7.57353126274595
1989,"Prince Edward Island","Nominal GDP (Millions)",2095,7.64730883235624
1990,"Prince Edward Island","Nominal GDP (Millions)",2184,7.6889133368648
1991,"Prince Edward Island","Nominal GDP (Millions)",2263,7.72444664563354
1992,"Prince Edward Island","Nominal GDP (Millions)",2308,7.74413662762799
1993,"Prince Edward Island","Nominal GDP (Millions)",2493,7.82124208352356
1994,"Prince Edward Island","Nominal GDP (Millions)",2547,7.84267147497946
1995,"Prince Edward Island","Nominal GDP (Millions)",2676,7.89207842124812
1996,"Prince Edward Island","Nominal GDP (Millions)",2833,7.94909149983052
1997,"Prince Edward Island","Nominal GDP (Millions)",2843,7.952615111651
1998,"Prince Edward Island","Nominal GDP (Millions)",2983,8.00068478451475
1999,"Prince Edward Island","Nominal GDP (Millions)",3170,8.06148686687133
2000,"Prince Edward Island","Nominal GDP (Millions)",3394,8.12976444579417
2001,"Prince Edward Island","Nominal GDP (Millions)",3458,8.14844566624324
2002,"Prince Edward Island","Nominal GDP (Millions)",3715,8.22013395715186
2003,"Prince Edward Island","Nominal GDP (Millions)",3810,8.24538446812075
2004,"Prince Edward Island","Nominal GDP (Millions)",4039,8.30375241556341
2005,"Prince Edward Island","Nominal GDP (Millions)",4270,8.35936910622267
2006,"Prince Edward Island","Nominal GDP (Millions)",4436,8.39750834847026
2007,"Prince Edward Island","Nominal GDP (Millions)",4638,8.44203851781548
2008,"Prince Edward Island","Nominal GDP (Millions)",4761,8.46821300919452
2009,"Prince Edward Island","Nominal GDP (Millions)",4937,8.50451313825886
2010,"Prince Edward Island","Nominal GDP (Millions)",5231,8.56235774337061
2011,"Prince Edward Island","Nominal GDP (Millions)",5432,8.60006266923853
2012,"Prince Edward Island","Nominal GDP (Millions)",5586,8.62801874650512
2013,"Prince Edward Island","Nominal GDP (Millions)",5766,8.65973387819835
2014,"Prince Edward Island","Nominal GDP (Millions)",5858,8.67556352738768
2015,"Prince Edward Island","Nominal GDP (Millions)",6088,8.71407489954152
2016,"Prince Edward Island","Nominal GDP (Millions)",6376,8.76029622047005
2017,"Prince Edward Island","Nominal GDP (Millions)",6790,8.82320622055274
2018,"Prince Edward Island","Nominal GDP (Millions)",6983,8.85123390284603
2019,"Prince Edward Island","Nominal GDP (Millions)",7444,8.91516361776214
2020,"Prince Edward Island","Nominal GDP (Millions)",7508,8.9237243977064
2021,"Prince Edward Island","Nominal GDP (Millions)",NA,NA
1867,"Nova Scotia","Nominal GDP (Millions)",NA,NA
